route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
PF,13432,05820134322161864,Flumini ,Flumini ,0,,60FA01X582,,
QEX,13460,05820134602165704,Brigata Sassari,Brigata Sassari,0,,QEXA11X582,,
6,13398,05820133982165477,_,_,1,,06R31X582,,
6,13453,05820134532165308,_,_,1,,06R31X582,,
UEX,13435,05820134352156453,Policlinico Universitario,Policlinico Universitario,0,,U_EA02X582,,
UEX,13435,05820134352156471,Abruzzi (ang. via Campeda),Abruzzi (ang. via Campeda),1,,U_ER02X582,,
6,13389,05820133892165425,_,_,1,,06R32X582,,
6,13398,05820133982165457,_,_,1,,06R31X582,,
30,13401,05820134012165648,Brigata Sassari (Banca),Brigata Sassari (Banca),0,,30A31X582,,
QEX,13412,05820134122165917,Brigata Sassari,Brigata Sassari,0,,QEXA11X582,,
31R,13397,05820133972165545,Brigata Sassari,Brigata Sassari,0,,31RA11X582,,
6,13453,05820134532165340,_,_,1,,06R31X582,,
QEX,13412,05820134122165884,Brigata Sassari,Brigata Sassari,0,,QEXA11X582,,
30,13401,05820134012165605,Brigata Sassari (Banca),Brigata Sassari (Banca),0,,30A31X582,,
QEX,13460,05820134602165673,Brigata Sassari,Brigata Sassari,0,,QEXA11X582,,
9,13447,05820134472164651,Decimomannu,Decimomannu,1,,09R93X582,,
QEX,13412,05820134122161125,Matteotti,Matteotti,1,,QEXR01X582,,
5,13384,05820133842156046,Cinquini (parco San Michele),Cinquini (parco San Michele),1,,05R51X582,,
10,13410,05820134102160892,Is Guadazzonis (Ospedale),Is Guadazzonis (Ospedale),0,,10A91X582,,
7,13399,05820133992162705,Yenne (fronte via Azuni),Yenne (fronte via Azuni),0,,07A52X582,,
10,13410,05820134102160777,Is Guadazzonis (Ospedale),Is Guadazzonis (Ospedale),0,,10A91X582,,
6,13389,05820133892161370,Andorra,Andorra,0,,06A11X582,,
1,13389,05820133892163862,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
PF,13432,05820134322161874,Flumini ,Flumini ,0,,60FA01X582,,
41,13407,05820134072157658,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),0,,41A02X582,,
PF,13432,05820134322155556,Flumini ,Flumini ,0,,60FA01X582,,
PF,13432,05820134322155582,Matteotti (Fronte Stazione ARST),Matteotti (Fronte Stazione ARST),1,,60FR51X582,,
1,13415,05820134152159066,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R53X582,,
M,13453,05820134532160257,Matteotti,Matteotti,1,,00MR21X582,,
41,13412,05820134122163518,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),0,,41A01X582,,
M,13439,05820134392162863,Matteotti,Matteotti,1,,00MR21X582,,
M,13439,05820134392159360,Gottardo,Gottardo,0,,00MA21X582,,
QEX,13412,05820134122161003,Matteotti,Matteotti,1,,QEXR01X582,,
3,13389,05820133892158738,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
PQ,13382,05820133822159845,4 Novembre (ang. via Amsicora) ,4 Novembre (ang. via Amsicora) ,0,,60QA21X582,,
PF,13396,05820133962159512,Flumini ,Flumini ,0,,60FA02X582,,
6,13453,05820134532155861,Andorra,Andorra,0,,06A13X582,,
10,13410,05820134102160868,Is Guadazzonis (Ospedale),Is Guadazzonis (Ospedale),0,,10A91X582,,
1,13389,05820133892163831,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R52X582,,
PQ,13382,05820133822159803,4 Novembre (ang. via Amsicora) ,4 Novembre (ang. via Amsicora) ,0,,60QA21X582,,
9,13465,05820134652165034,Roma (ang. via Sassari),Roma (ang. via Sassari),0,,09A82X582,,
10,13410,05820134102160897,Is Guadazzonis (Ospedale),Is Guadazzonis (Ospedale),0,,10A91X582,,
3,13453,05820134532157755,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
8,13453,05820134532157820,Policlinico Universitario,Policlinico Universitario,0,,08A21X582,,
6,13389,05820133892165960,_,_,1,,06R31X582,,
3,13389,05820133892158619,Abruzzi (cimitero S. Michele),Abruzzi (cimitero S. Michele),0,,03A11X582,,
41,13412,05820134122163519,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),0,,41A01X582,,
10,13410,05820134102160788,Is Guadazzonis (Ospedale),Is Guadazzonis (Ospedale),0,,10A93X582,,
9,13465,05820134652164973,Roma (ang. via Sassari),Roma (ang. via Sassari),0,,09A81X582,,
